2026-06-13T08:36:31.951850056Z [inf]  > node bundle.js
2026-06-13T08:36:31.951859839Z [inf]  
2026-06-13T08:36:31.951865177Z [inf]  [2026-06-13T08:36:31.821Z] [START] Connecting to Discord...
2026-06-13T08:36:31.951916639Z [err]  npm warn config production Use `--omit=dev` instead.
2026-06-13T08:36:31.951921815Z [inf]  
2026-06-13T08:36:31.951927030Z [inf]  > poketwo-catcher-bot@1.0.0 start
2026-06-13T08:36:32.040585915Z [inf]  Starting Container
2026-06-13T08:36:35.131096592Z [inf]  [2026-06-13T08:36:35.129Z] [READY] Logged in as able_lep
2026-06-13T08:36:35.131106153Z [inf]  [2026-06-13T08:36:35.130Z] [READY] Target server : 1437578148236754947
2026-06-13T08:36:35.131114587Z [inf]  [2026-06-13T08:36:35.130Z] [READY] Category filter: 1437583699590910162
2026-06-13T08:38:55.439658069Z [inf]  [2026-06-13T08:38:53.510Z] [CAUGHT] croagunk in #🫧┃93
2026-06-13T08:38:55.439670720Z [inf]  [2026-06-13T08:38:53.510Z] [QUEUE] 1 pokemon waiting — pausing before next catch
2026-06-13T08:38:55.439677731Z [inf]  [2026-06-13T08:38:55.104Z] [CATCH] Processing: bombirdier in #🫧┃94 (0 remaining in queue)
2026-06-13T08:38:55.439752178Z [inf]  [2026-06-13T08:38:47.440Z] [QUEUE] Queued: tyrunt from #🫧┃92 (queue size: 1)
2026-06-13T08:38:55.439758081Z [inf]  [2026-06-13T08:38:47.441Z] [CATCH] Processing: tyrunt in #🫧┃92 (0 remaining in queue)
2026-06-13T08:38:55.439765448Z [inf]  [2026-06-13T08:38:48.444Z] [QUEUE] Queued: bronzor from #🫧┃96 (queue size: 1)
2026-06-13T08:38:55.439772517Z [inf]  [2026-06-13T08:38:48.514Z] [CAUGHT] tyrunt in #🫧┃92
2026-06-13T08:38:55.439779592Z [inf]  [2026-06-13T08:38:48.514Z] [QUEUE] 1 pokemon waiting — pausing before next catch
2026-06-13T08:38:55.439785847Z [inf]  [2026-06-13T08:38:50.162Z] [CATCH] Processing: bronzor in #🫧┃96 (0 remaining in queue)
2026-06-13T08:38:55.439791357Z [inf]  [2026-06-13T08:38:51.604Z] [CAUGHT] bronzor in #🫧┃96
2026-06-13T08:38:55.439797874Z [inf]  [2026-06-13T08:38:51.898Z] [QUEUE] Queued: croagunk from #🫧┃93 (queue size: 1)
2026-06-13T08:38:55.439803188Z [inf]  [2026-06-13T08:38:51.898Z] [CATCH] Processing: croagunk in #🫧┃93 (0 remaining in queue)
2026-06-13T08:38:55.439808166Z [inf]  [2026-06-13T08:38:52.951Z] [QUEUE] Queued: bombirdier from #🫧┃94 (queue size: 1)
2026-06-13T08:38:56.601654638Z [inf]  [2026-06-13T08:38:56.593Z] [CAUGHT] bombirdier in #🫧┃94
2026-06-13T08:38:56.758255171Z [inf]  [2026-06-13T08:38:56.752Z] [QUEUE] Queued: munna from #🫧┃91 (queue size: 1)
2026-06-13T08:38:56.758262776Z [inf]  [2026-06-13T08:38:56.753Z] [CATCH] Processing: munna in #🫧┃91 (0 remaining in queue)
2026-06-13T08:38:57.502503641Z [inf]  [2026-06-13T08:38:57.499Z] [QUEUE] Queued: finizen from #🫧┃95 (queue size: 1)
2026-06-13T08:39:00.478501328Z [inf]  [2026-06-13T08:38:59.944Z] [CAUGHT] munna in #🫧┃91
2026-06-13T08:39:00.478508377Z [inf]  [2026-06-13T08:38:59.944Z] [QUEUE] 1 pokemon waiting — pausing before next catch
2026-06-13T08:39:01.813355925Z [inf]  [2026-06-13T08:39:01.811Z] [CATCH] Processing: finizen in #🫧┃95 (0 remaining in queue)
2026-06-13T08:39:03.389902123Z [inf]  [2026-06-13T08:39:03.372Z] [CAUGHT] finizen in #🫧┃95
2026-06-13T08:39:07.492440345Z [inf]  [2026-06-13T08:39:07.316Z] [SKIP] Channel 1437588441054576752 is locked — ignoring gholdengo
2026-06-13T08:39:08.552020254Z [inf]  [2026-06-13T08:39:08.094Z] [SKIP] Channel 1437588530330206328 is locked — ignoring toedscool
2026-06-13T08:39:10.517686025Z [inf]  [2026-06-13T08:39:10.514Z] [UNLOCK] Channel 1437588441054576752 unlocked
2026-06-13T08:39:12.515407927Z [inf]  [2026-06-13T08:39:12.015Z] [SKIP] Channel 1437588463561216112 is locked — ignoring linoone
2026-06-13T08:39:12.848398168Z [inf]  [2026-06-13T08:39:12.832Z] [SKIP] Channel 1437588485736370186 is locked — ignoring cufant
2026-06-13T08:39:13.608972254Z [inf]  [2026-06-13T08:39:13.605Z] [UNLOCK] Channel 1437588530330206328 unlocked
2026-06-13T08:39:15.513403956Z [inf]  [2026-06-13T08:39:15.510Z] [UNLOCK] Channel 1437588463561216112 unlocked
2026-06-13T08:39:16.773060839Z [inf]  [2026-06-13T08:39:16.772Z] [SKIP] Channel 1437588418900131931 is locked — ignoring pelipper
2026-06-13T08:39:17.755684039Z [inf]  [2026-06-13T08:39:17.751Z] [SKIP] Channel 1437588508070903929 is locked — ignoring fuecoco
2026-06-13T08:39:18.601072605Z [inf]  [2026-06-13T08:39:18.593Z] [UNLOCK] Channel 1437588485736370186 unlocked
2026-06-13T08:39:22.449623124Z [inf]  [2026-06-13T08:39:21.945Z] [UNLOCK] Channel 1437588418900131931 unlocked
2026-06-13T08:39:25.594670752Z [inf]  [2026-06-13T08:39:25.372Z] [UNLOCK] Channel 1437588508070903929 unlocked
2026-06-13T08:39:55.637170896Z [inf]  [2026-06-13T08:39:53.382Z] [QUEUE] 1 pokemon waiting — pausing before next catch
2026-06-13T08:39:55.637182469Z [inf]  [2026-06-13T08:39:54.806Z] [CATCH] Processing: indeedee in #🫧┃94 (0 remaining in queue)
2026-06-13T08:39:55.637290701Z [inf]  [2026-06-13T08:39:48.704Z] [CAUGHT] tarountula in #🫧┃92
2026-06-13T08:39:55.637312014Z [inf]  [2026-06-13T08:39:48.704Z] [QUEUE] 1 pokemon waiting — pausing before next catch
2026-06-13T08:39:55.637322513Z [inf]  [2026-06-13T08:39:47.326Z] [QUEUE] Queued: tarountula from #🫧┃92 (queue size: 1)
2026-06-13T08:39:55.637329946Z [inf]  [2026-06-13T08:39:50.132Z] [CATCH] Processing: skrelp in #🫧┃96 (0 remaining in queue)
2026-06-13T08:39:55.637333848Z [inf]  [2026-06-13T08:39:47.326Z] [CATCH] Processing: tarountula in #🫧┃92 (0 remaining in queue)
2026-06-13T08:39:55.637343977Z [inf]  [2026-06-13T08:39:48.033Z] [QUEUE] Queued: skrelp from #🫧┃96 (queue size: 1)
2026-06-13T08:39:55.637345429Z [inf]  [2026-06-13T08:39:51.517Z] [CAUGHT] skrelp in #🫧┃96
2026-06-13T08:39:55.637353261Z [inf]  [2026-06-13T08:39:51.982Z] [QUEUE] Queued: barboach from #🫧┃93 (queue size: 1)
2026-06-13T08:39:55.637361397Z [inf]  [2026-06-13T08:39:51.982Z] [CATCH] Processing: barboach in #🫧┃93 (0 remaining in queue)
2026-06-13T08:39:55.637368647Z [inf]  [2026-06-13T08:39:52.916Z] [QUEUE] Queued: indeedee from #🫧┃94 (queue size: 1)
2026-06-13T08:39:55.637375809Z [inf]  [2026-06-13T08:39:53.382Z] [CAUGHT] barboach in #🫧┃93
2026-06-13T08:39:56.630732012Z [inf]  [2026-06-13T08:39:56.127Z] [CAUGHT] indeedee in #🫧┃94
2026-06-13T08:39:56.742250208Z [inf]  [2026-06-13T08:39:56.737Z] [QUEUE] Queued: klink from #🫧┃91 (queue size: 1)
2026-06-13T08:39:56.742254792Z [inf]  [2026-06-13T08:39:56.737Z] [CATCH] Processing: klink in #🫧┃91 (0 remaining in queue)
2026-06-13T08:39:57.618535062Z [inf]  [2026-06-13T08:39:57.379Z] [QUEUE] Queued: horsea from #🫧┃95 (queue size: 1)
2026-06-13T08:39:58.691546002Z [inf]  [2026-06-13T08:39:58.313Z] [CAUGHT] klink in #🫧┃91
2026-06-13T08:39:58.691556757Z [inf]  [2026-06-13T08:39:58.313Z] [QUEUE] 1 pokemon waiting — pausing before next catch
2026-06-13T08:40:00.037028622Z [inf]  [2026-06-13T08:40:00.035Z] [CATCH] Processing: horsea in #🫧┃95 (0 remaining in queue)
2026-06-13T08:40:01.781502531Z [inf]  [2026-06-13T08:40:01.281Z] [CAUGHT] horsea in #🫧┃95
2026-06-13T08:40:07.760357806Z [inf]  [2026-06-13T08:40:07.189Z] [SKIP] Channel 1437588441054576752 is locked — ignoring flittle
2026-06-13T08:40:07.973237342Z [inf]  [2026-06-13T08:40:07.971Z] [SKIP] Channel 1437588530330206328 is locked — ignoring nymble
2026-06-13T08:40:10.707427776Z [inf]  [2026-06-13T08:40:10.704Z] [UNLOCK] Channel 1437588441054576752 unlocked
2026-06-13T08:40:11.909715086Z [inf]  [2026-06-13T08:40:11.905Z] [SKIP] Channel 1437588463561216112 is locked — ignoring croagunk
2026-06-13T08:40:13.703617777Z [inf]  [2026-06-13T08:40:13.197Z] [SKIP] Channel 1437588485736370186 is locked — ignoring slakoth
2026-06-13T08:40:13.703630463Z [inf]  [2026-06-13T08:40:13.517Z] [UNLOCK] Channel 1437588530330206328 unlocked
2026-06-13T08:40:15.691235606Z [inf]  [2026-06-13T08:40:15.383Z] [UNLOCK] Channel 1437588463561216112 unlocked
2026-06-13T08:40:17.011832533Z [inf]  [2026-06-13T08:40:17.005Z] [SKIP] Channel 1437588418900131931 is locked — ignoring scatterbug
2026-06-13T08:40:17.726475333Z [inf]  [2026-06-13T08:40:17.671Z] [SKIP] Channel 1437588508070903929 is locked — ignoring nuzleaf
2026-06-13T08:40:18.132215736Z [inf]  [2026-06-13T08:40:18.127Z] [UNLOCK] Channel 1437588485736370186 unlocked
2026-06-13T08:40:20.750901106Z [inf]  [2026-06-13T08:40:20.314Z] [UNLOCK] Channel 1437588418900131931 unlocked
2026-06-13T08:40:23.783288224Z [inf]  [2026-06-13T08:40:23.281Z] [UNLOCK] Channel 1437588508070903929 unlocked
